imdb_title_id,title,year,genre,duration,country,language,production_company,actors,description,avg_vote,votes,budget
tt0020480,Tanned Legs,1929,Comedy,71,USA,English,RKO Radio Pictures,Arthur Lake &  June Clyde &  Dorothy Revier &  Ann Pennington &  Albert Gran &  Allen Kearns &  Sally Blane &  Edmund Burns &  Lincoln Stedman &  Nella Walker &  Johnny Johnson &  Johnny Johnson's Orchestra,Peggy and Bill are high society lovebirds  but their marriage plans are put on hold while Peggy spends most of her summer straightening out her wayward parents and her unlucky-in-love ...,5.6,135,
tt0020488,Ritorna il sole,1929,Drama,65,USA,English,Metro-Goldwyn-Mayer (MGM),Norma Shearer &  Belle Bennett &  Lewis Stone &  Robert Montgomery &  Helene Millard &  Cecil Cunningham &  Henry Hebert &  Mary Doran &  June Nash,Lally is a rich girl whose father writes books and plays Polo. After 23 years of marriage  he decides to divorce his wife  and marry Mrs. Chevers. This sours Lally on all men  while on ...,5.9,559,
tt0020490,They Had to See Paris,1929,Comedy,95,USA,English,Fox Film Corporation,Will Rogers &  Irene Rich &  Owen Davis Jr. &  Marguerite Churchill &  Fifi D'Orsay &  Rex Bell &  Ivan Lebedeff,Oklahoma mechanic Pike Peters finds himself part owner of an oil field. His wife Idy  hitherto content  decides the family must go to Paris to get "culture" and meet "the right kind of ...,5.8,143,
tt0020492,The Thirteenth Chair,1929,Drama,72,USA,English,Metro-Goldwyn-Mayer (MGM),Conrad Nagel &  Leila Hyams &  Margaret Wycherly &  Helene Millard &  Holmes Herbert &  Mary Forbes &  Bela Lugosi &  John Davidson &  Charles Quatermaine &  Moon Carroll &  Cyril Chadwick &  Bertram Johns &  Gretchen Holland &  Frank Leigh &  Clarence Geldart,Although his murdered friend was by all accounts a scoundrel a true "bounder" Edward Wales is determined to trap his killer by staging a seance using a famous medium. Many of the 13 seance ...,5.9,522,
tt0020499,La mazzata,1929,Crime,85,USA,English,Paramount Pictures,George Bancroft &  Fay Wray &  Richard Arlen &  Tully Marshall &  Eugenie Besserer &  James Spottswood &  Robert Elliott &  Fred Kohler &  E.H. Calvert &  George Irving &  Mike Donlin &  S.S. Stewart &  William L. Thorne,A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Moran  an innocent man who has been framed and who is in love with Thunderbolt's girl. ...,6.6,501,
tt0020514,L'intrusa,1929,Drama,90,USA,English,Gloria Productions,Gloria Swanson &  Robert Ames &  Purnell Pratt &  Henry B. Walthall &  Wally Albright &  William Holden &  Blanche Friderici &  Kay Hammond &  Mary Forbes &  Marcelle Corday,The trial and tribulations of a strong-willed woman who elopes and gives birth out of wedlock without telling her ex-husband.,6.6,1232,  725000
tt0020516,The Trial of Mary Dugan,1929,Drama,113,USA,English,Metro-Goldwyn-Mayer (MGM),Norma Shearer &  Lewis Stone &  H.B. Warner &  Raymond Hackett &  Lilyan Tashman &  Olive Tell &  Adrienne D'Ambricourt &  DeWitt Jennings &  Wilfrid North &  Landers Stevens &  Mary Doran &  Westcott Clarke &  Charles R. Moore &  Claud Allister &  Myra Hampton,Mary Dugan  a Broadway showgirl  is charged with murder in the knifing death of her wealthy lover  and goes on trial for her life. When her defense counsel appears to bungle his job  Mary's...,6.1,105,
tt0020538,L'indomabile,1929,Adventure,86,USA,English,Metro-Goldwyn-Mayer (MGM),Joan Crawford &  Robert Montgomery &  Ernest Torrence &  Holmes Herbert &  John Miljan &  Gwen Lee &  Edward J. Nugent &  Don Terry &  Gertrude Astor &  Milton J. Fahrney &  Lloyd Ingraham &  Grace Cunard &  Tom O'Brien &  Wilson Benge,When her rich oilman father is killed  Bingo  raised in the wilds of South America  inherits the company. Her guardians Ben and Howard send her to New York for civilizing but on the way she...,5.1,475,  229000
tt0020542,The Vagabond Lover,1929,Comedy,65,USA,English,RKO Radio Pictures,Rudy Vallee &  Sally Blane &  Marie Dressler &  Charles Sellon &  Nella Walker &  Edward J. Nugent &  Danny O'Shea &  Alan Roscoe &  The Connecticut Yankees,A zany musical about an amateur musician in search of work who impersonates a big band leader.,5.3,198,
tt0020543,The Valiant,1929,Drama,66,USA,English,Fox Film Corporation,Paul Muni &  Marguerite Churchill &  Johnny Mack Brown &  DeWitt Jennings &  Edith Murgatroyd &  Clifford Dempsey &  Richard Carlyle &  Henry Kolker &  Robert Elliott,After killing an unknown man for an unknown reason  a mysterious drifter turns himself to the law  under a false name intending to protect his own family's honor. But when the news of his ...,6,315,
tt0020556,L'uomo della Virginia,1929,Romance,91,USA,English,Paramount Pictures,Gary Cooper &  Walter Huston &  Mary Brian &  Richard Arlen &  Helen Ware &  Chester Conklin &  Eugene Pallette &  Victor Potel &  E.H. Calvert,A good-natured cowboy who is romancing the new schoolmarm has a crisis of conscience when he discovers his best friend is engaged in cattle rustling.,6.8,661,  425000
tt0020572,Evviva il pericolo!,1929,Comedy,113,USA,English &  Cantonese &  German,The Harold Lloyd Corporation,Harold Lloyd &  Barbara Kent &  Noah Young &  Charles Middleton &  Will Walling &  Grady Sutton,Harold Bledsoe  a botany student  is called back home to San Francisco  where his late father had been police chief  to help investigate a crime wave in Chinatown.,6,669,  979828
tt0020585,Why Be Good?,1929,Comedy,84,USA,English,First National Pictures,Colleen Moore &  Neil Hamilton &  Bodil Rosing &  John St. Polis &  Edward Martindel &  Eddie Clayton &  Lincoln Stedman &  Louis Natheaux &  Collette Merton &  Dixie Gay,A flapper with a dubious reputation enjoys a vivacious night of dancing and finds herself romantically linked to her boss.,7.2,359,
tt0020589,Orchidea selvaggia,1929,Romance,100,USA,English,Metro-Goldwyn-Mayer (MGM),Greta Garbo &  Lewis Stone &  Nils Asther,A prince in Java tries to seduce his visitor's wife  but he's discovered.,6.6,578,  322000
tt0020590,L'allegra brigata,1929,Comedy,77,USA,English,Paramount Pictures,Clara Bow &  Fredric March &  Marceline Day &  Shirley O'Hara &  Adrienne Dore &  Joyce Compton &  Jack Oakie &  Jack Luden &  Phillips Holmes,Wild girls at a college pay more attention to parties than their classes. But when one party girl  Stella Ames  goes too far at a local bar and gets in trouble  her professor has to rescue ...,6.4,408,
tt0020608,Nina Petrowna,1929,Drama,102,Germany,German,Universum Film (UFA),Brigitte Helm &  Francis Lederer &  Warwick Ward &  Lya Jan &  Harry Hardt &  Ekkehard Arendt &  Michael von Newlinsky &  Franz Schafheitlin,Nina Petrovna  the mistress of a wealthy Cossack  falls in love with a young cadet. Their happiness is short-lived.,7.2,216,
tt0020613,La nuova generazione,1929,Drama,75,USA,English,Columbia Pictures,Jean Hersholt &  Lina Basquette &  Ricardo Cortez &  Rex Lease &  Rosa Rosanova &  Syd Crossley &  Martha Franklin,Soap-opera about a social-climbing Jewish man and his old-world parents who are heartbroken by his rejection of them.,6.3,263,
